drawdate,n1,n2,n3,n4,n5,cashball,win51,win50,win41,win40,win31,win30,win21,prize51,prize50,prize41,prize40,prize31,prize30,prize21
2013-01-23,02,17,19,28,29,2,0,0,21,56,393,1461,3384,0,0,62,23,9,5,2,
2013-01-21,07,19,23,24,27,5,0,0,13,66,444,1703,3670,0,0,102,20,8,4,1,
2013-01-18,03,28,31,34,35,4,0,2,11,39,304,1321,3382,0,3336,120,34,12,5,2,
2013-01-16,05,17,23,28,35,5,0,0,11,52,393,1270,3134,0,0,106,22,8,5,2,
2013-01-14,05,06,13,25,29,2,0,1,13,44,330,1289,3018,0,3041,87,25,10,5,2,
2013-01-11,09,16,20,21,25,5,0,2,12,49,330,1312,3219,0,1591,99,24,10,5,2,
2013-01-09,01,11,15,23,33,1,0,1,7,33,300,1214,2733,0,2822,150,31,10,5,2,
2013-01-07,03,05,07,14,34,1,0,1,17,59,348,1520,2939,0,3063,67,19,9,4,2,
2013-01-04,01,10,11,29,35,3,0,1,10,37,348,1254,3228,0,5617,115,31,9,5,1,
2013-01-02,12,15,22,25,29,2,0,0,8,39,253,1051,2524,0,0,117,24,10,5,2,
2012-12-31,10,15,16,29,34,5,0,1,12,40,300,1231,3073,0,3183,99,29,11,5,2,
2012-12-28,01,15,18,26,28,1,0,1,7,40,274,1132,2507,0,4997,151,26,11,5,2,
2012-12-26,04,10,18,26,34,1,0,0,12,39,214,864,2011,0,0,67,20,10,5,2,
2012-12-24,04,07,11,24,32,3,0,1,20,58,374,1298,3180,0,5900,52,18,8,4,1,
2012-12-21,13,15,17,20,31,2,1,0,14,37,308,1229,2843,300000,0,82,31,10,5,2,
2012-12-19,03,06,10,30,32,4,0,1,7,33,280,1124,2764,0,5715,148,31,10,5,2,
2012-12-17,02,05,15,26,34,5,0,0,14,32,319,1183,2946,0,0,78,34,10,5,2,
2012-12-14,02,04,28,30,35,5,0,1,9,42,304,1124,2870,0,5774,123,26,10,5,2,
2012-12-12,06,08,14,25,32,2,0,0,10,38,278,1126,2558,0,0,104,27,10,5,2,
2012-12-10,04,06,12,26,29,1,0,1,8,47,273,1215,2637,0,23181,132,22,11,5,2,
2012-12-07,07,10,16,19,33,1,1,0,11,61,363,1606,3218,400000,0,125,22,11,4,2,
2012-12-05,05,08,25,29,30,1,0,0,12,44,313,1276,2867,0,0,99,27,11,5,2,
2012-12-03,03,13,18,27,35,1,0,0,10,53,325,1585,3226,0,0,130,24,11,4,2,
2012-11-30,04,09,12,14,21,3,0,0,7,61,421,1571,3700,0,0,179,20,8,4,1,
2012-11-28,06,09,16,20,34,4,0,0,9,45,393,1334,3346,0,0,142,28,9,5,2,
2012-11-26,03,09,14,15,35,2,0,0,19,55,342,1377,3195,0,0,63,21,10,5,2,
2012-11-23,15,19,28,32,35,4,0,1,10,37,264,1075,2466,0,8280,99,26,10,5,2,
2012-11-21,05,12,19,28,29,4,0,0,6,47,318,1223,2895,0,0,175,22,9,4,1,
2012-11-19,05,09,25,30,35,3,0,0,6,47,302,1249,3124,0,0,175,22,10,4,1,
2012-11-16,08,10,15,16,30,1,0,1,10,38,259,1202,2467,0,5263,103,27,11,5,2,
2012-11-14,11,15,26,31,33,1,0,0,15,32,230,1042,2268,0,0,62,29,11,5,2,
2012-11-12,03,17,23,24,25,1,1,1,6,44,322,1553,3141,420000,9443,204,27,11,4,2,
2012-11-09,01,05,09,25,31,5,0,0,9,61,388,1445,3400,0,0,138,20,9,5,1,
2012-11-07,13,19,21,27,31,4,0,0,13,48,344,1248,2933,0,0,81,22,8,4,1,
2012-11-05,05,11,17,20,28,2,0,1,10,57,322,1403,3087,0,6065,114,20,10,4,2,
2012-11-02,01,02,06,17,25,3,0,0,10,41,307,1145,3010,0,0,112,27,10,5,2,
2012-10-31,01,04,11,26,28,3,0,1,5,30,279,1052,2598,0,7957,188,31,9,5,1,
2012-10-29,04,13,16,23,33,3,0,0,16,51,345,1210,2948,0,0,63,20,8,4,1,
2012-10-26,05,07,21,33,34,1,0,0,10,43,259,1190,2413,0,0,101,23,11,4,2,
2012-10-24,01,07,08,10,33,1,0,1,10,34,257,1081,2332,0,18722,88,26,10,4,2,
2012-10-22,04,06,07,13,26,5,0,0,8,43,297,1193,2686,0,0,120,22,9,4,1,
2012-10-19,09,11,16,21,23,5,0,0,11,41,328,1242,2666,0,0,88,23,8,4,1,
2012-10-17,01,03,22,25,34,2,0,0,6,33,194,950,2045,0,0,145,26,13,5,2,
2012-10-15,04,09,14,21,25,2,1,0,10,42,360,1402,2996,380000,0,115,27,9,4,2,
2012-10-12,09,10,17,27,29,3,0,0,16,52,375,1368,3292,0,0,70,21,8,4,1,
2012-10-10,04,10,25,29,31,2,0,0,11,29,270,1164,2655,0,0,92,34,10,5,2,
2012-10-08,05,17,24,29,30,3,0,1,14,31,319,1186,3078,0,13979,76,34,9,5,1,
2012-10-05,08,20,21,26,30,4,0,0,6,48,301,1142,2802,0,0,184,23,10,5,2,
2012-10-03,03,06,20,31,32,4,0,0,10,32,250,949,2472,0,0,98,30,11,6,2,
2012-10-01,18,22,23,31,34,4,0,0,8,23,264,1042,2681,0,0,128,44,11,5,2,
2012-09-28,13,15,16,17,23,3,0,0,17,43,321,1141,3114,0,0,61,24,9,5,1,
2012-09-26,01,27,28,32,33,5,0,1,5,30,197,838,2102,0,2408,180,30,13,6,2,
2012-09-24,04,10,18,22,25,1,0,2,6,40,266,1176,2298,0,9558,157,23,10,4,2,
2012-09-21,03,11,20,26,34,1,1,0,10,36,248,1087,2424,240000,0,102,28,12,5,2,
2012-09-19,03,04,13,22,32,4,0,0,14,36,281,972,2549,0,0,65,25,9,5,1,
2012-09-17,04,09,14,22,28,5,0,0,9,48,259,1217,2502,0,0,106,19,10,4,2,
2012-09-14,17,20,24,28,30,5,1,0,8,30,254,1103,2550,200000,0,127,34,11,5,2,
2012-09-12,04,06,13,17,20,2,1,0,9,44,288,1175,2753,380000,0,120,24,10,5,2,
2012-09-10,01,03,06,18,31,5,0,0,8,46,304,1287,3119,0,0,148,25,11,5,2,
2012-09-07,09,14,18,30,32,5,0,1,5,41,349,1219,3194,0,23252,244,29,10,5,2,
2012-09-05,04,22,29,32,35,2,0,0,9,32,283,1168,2694,0,0,120,33,11,5,2,
2012-09-03,07,23,27,30,33,1,0,0,13,45,291,1274,2631,0,0,80,23,10,4,2,
2012-08-31,05,07,13,29,35,2,0,0,9,49,317,1496,3086,0,0,131,24,10,4,2,
2012-08-29,04,05,13,21,23,4,0,0,11,47,314,1166,2719,0,0,88,20,9,4,1,
2012-08-27,01,04,11,26,32,1,0,0,7,41,272,1141,2746,0,0,153,26,11,5,2,
2012-08-24,18,20,23,29,32,4,0,0,16,44,305,1109,2876,0,0,68,24,10,5,2,
2012-08-22,11,17,21,32,35,1,0,0,9,34,279,1312,2607,0,0,112,29,10,4,2,
2012-08-20,09,15,17,22,24,2,1,1,26,85,736,2828,6501,935686,6415,92,28,9,4,2,
2012-08-17,02,04,31,34,35,4,0,1,15,67,549,2228,5656,0,5890,146,32,11,5,2,
2012-08-15,08,15,21,34,35,3,0,1,14,79,483,1931,4888,0,4935,131,23,11,5,2,
2012-08-13,08,09,14,24,27,3,0,1,16,83,563,2158,5324,0,16962,110,21,9,4,1,
2012-08-10,07,09,15,25,28,3,0,0,16,66,561,1931,4722,0,0,102,24,8,4,1,
2012-08-08,10,11,21,33,34,5,0,0,11,60,374,1491,3951,0,0,131,24,11,5,1,
2012-08-06,05,10,12,17,33,2,0,0,21,57,424,1840,3893,0,0,70,25,10,4,2,
2012-08-03,03,09,14,17,35,2,0,2,14,70,439,1668,3942,0,3654,105,21,9,5,2,
2012-08-01,07,09,11,25,26,3,0,0,10,59,480,1587,4057,0,0,125,21,7,4,1,
2012-07-30,14,16,21,32,33,4,0,1,13,44,358,1272,3275,0,9959,98,29,10,5,2,
2012-07-27,06,14,18,33,35,4,0,0,16,37,363,1348,3278,0,0,80,34,10,5,2,
2012-07-25,02,06,15,25,31,1,0,0,6,64,302,1287,2690,0,0,191,17,11,5,2,
2012-07-23,01,12,16,22,24,1,0,1,10,47,316,1376,2995,0,26437,121,25,11,5,2,
2012-07-20,02,09,23,29,32,1,0,0,8,49,337,1373,2881,0,0,151,24,10,5,2,
2012-07-18,01,24,27,31,33,1,0,0,6,39,249,1125,2556,0,0,179,27,12,5,2,
2012-07-16,11,12,13,15,27,4,0,0,23,72,404,1471,3367,0,0,49,15,8,4,1,
2012-07-13,11,13,15,16,24,4,0,0,9,44,385,1364,3269,0,0,131,26,8,5,1,
2012-07-11,04,16,20,24,31,2,0,0,7,33,261,1026,2532,0,0,145,30,11,5,2,
2012-07-09,02,03,08,11,27,4,0,0,15,57,308,1435,3128,0,0,71,18,10,4,1,
2012-07-06,11,16,28,30,32,5,0,0,7,30,270,1080,2730,0,0,153,35,11,5,2,
2012-07-04,01,09,11,13,19,4,0,0,11,46,286,1189,2622,0,0,80,19,9,4,1,
2012-07-02,04,21,23,29,35,2,0,1,7,35,313,1128,2636,0,23461,148,29,9,5,2,
2012-06-29,01,12,15,19,29,1,0,0,9,30,254,1139,2595,0,0,115,34,11,5,2,
2012-06-27,06,08,12,13,20,4,1,0,10,39,280,1180,2774,220000,0,94,24,9,4,1,
2012-06-25,02,10,15,30,31,3,0,0,9,46,331,1202,3023,0,0,116,22,9,5,1,
2012-06-22,13,19,25,32,34,3,2,0,30,90,729,2693,7248,488931,0,87,29,10,5,1,
2012-06-20,13,17,20,21,35,4,0,0,19,81,608,2316,5351,0,0,109,25,9,5,2,
2012-06-18,03,05,06,08,12,1,0,1,26,125,593,2771,5208,0,19136,79,16,10,4,2,
2012-06-15,12,17,20,22,31,4,0,0,23,78,499,2182,5141,0,0,84,24,11,5,2,
2012-06-13,09,25,32,33,35,4,0,0,10,47,418,1625,3920,0,0,156,33,10,5,2,
2012-06-11,06,10,14,15,25,5,0,0,14,69,506,1882,4305,0,0,113,23,9,4,2,
2012-06-08,05,08,11,23,28,5,0,1,21,64,490,1914,4327,0,4144,73,24,9,4,1,
2012-06-06,07,16,20,21,35,2,0,1,13,54,353,1415,3428,0,3568,102,24,10,5,2,
2012-06-04,14,15,17,21,27,1,0,1,12,56,372,1728,3677,0,7472,120,25,11,4,2,
2012-06-01,02,04,05,07,31,2,0,0,19,62,370,1637,3430,0,0,71,21,10,4,2,
2012-05-30,03,04,07,31,32,5,0,1,16,44,294,1161,2911,0,14979,69,25,11,5,2,
2012-05-28,08,11,12,17,28,4,0,0,8,41,327,1356,3087,0,0,130,25,9,4,1,
2012-05-25,06,09,19,27,31,1,0,0,12,60,334,1533,3062,0,0,102,20,10,4,2,
2012-05-23,11,25,28,30,31,4,0,0,7,43,271,1174,2777,0,0,154,25,11,5,2,
2012-05-21,07,10,24,26,35,5,0,0,7,41,311,1395,3119,0,0,162,27,10,4,1,
2012-05-18,03,09,11,31,33,2,0,1,7,51,367,1471,3082,0,5810,164,22,9,4,2,
2012-05-16,08,11,14,15,34,5,0,0,8,42,268,1297,2704,0,0,127,24,11,4,2,
2012-05-14,07,17,19,26,27,5,0,1,16,51,358,1415,3034,0,5945,68,21,8,4,1,
2012-05-11,02,03,09,13,18,4,0,0,7,31,345,1372,3209,0,0,160,36,9,4,1,
2012-05-09,01,05,07,17,31,3,0,1,17,44,335,1113,2931,0,13607,56,22,8,5,1,
2012-05-07,06,16,21,27,34,5,0,0,15,38,260,1194,2727,0,0,70,27,11,5,2,
2012-05-04,10,18,22,26,31,3,0,0,16,51,295,1083,2977,0,0,68,21,10,5,1,
2012-05-02,04,14,15,19,22,3,0,0,2,40,307,1089,2805,0,0,475,23,8,5,1,
2012-04-30,05,07,09,10,21,4,0,0,15,53,320,1507,2898,0,0,68,19,9,3,1,
2012-04-27,04,06,11,13,18,5,1,1,21,53,353,1519,3346,340000,40051,58,23,10,4,1,
2012-04-25,03,10,12,20,30,4,0,0,10,49,320,1301,2828,0,0,107,21,9,4,2,
2012-04-23,01,05,23,28,30,1,0,0,7,43,300,1214,2806,0,0,166,27,11,5,2,
2012-04-20,03,14,15,16,17,4,0,0,19,64,308,1291,2997,0,0,60,18,10,5,2,
2012-04-18,04,09,13,32,33,1,0,0,10,40,276,1195,2443,0,0,100,25,10,4,2,
2012-04-16,01,04,11,13,25,5,0,0,8,53,397,1399,3053,0,0,139,21,8,4,1,
2012-04-13,05,06,07,08,34,4,0,0,7,57,311,1241,3067,0,0,160,19,10,5,1,
2012-04-11,03,24,27,29,31,2,0,0,12,32,256,1165,2568,0,0,81,30,11,4,2,
2012-04-09,09,24,25,26,33,2,1,0,15,62,472,1865,4254,653338,0,111,26,10,5,2,
2012-04-06,03,08,14,24,34,4,0,0,20,63,511,1860,4425,0,0,80,25,9,5,1,
2012-04-04,06,24,25,26,35,4,0,0,13,38,360,1524,3620,0,0,109,37,11,5,2,
2012-04-02,15,25,26,27,30,2,0,0,11,56,386,1627,3523,0,0,130,25,10,5,2,
2012-03-30,06,11,15,28,35,2,0,1,19,68,444,1860,4366,0,14590,90,25,11,5,2,
2012-03-28,15,16,20,22,24,1,0,0,8,50,302,1368,2914,0,0,155,24,11,5,2,
2012-03-26,06,13,14,20,25,5,0,0,9,49,321,1408,3481,0,0,139,25,11,5,1,
2012-03-23,01,08,15,16,17,1,0,0,10,48,330,1439,2991,0,0,124,25,10,5,2,
2012-03-21,02,03,09,11,15,3,0,1,16,41,360,1282,3313,0,8851,65,25,8,4,1,
2012-03-19,06,18,22,23,27,1,0,0,7,38,293,1348,2825,0,0,160,29,11,4,2,
2012-03-16,08,11,13,16,22,2,0,0,10,36,316,1319,3035,0,0,113,31,10,5,2,
2012-03-14,01,11,13,15,17,2,0,1,7,41,265,1119,2518,0,24040,138,23,10,5,2,
2012-03-12,12,22,31,33,34,3,0,0,9,39,290,1169,2897,0,0,118,27,10,5,1,
2012-03-09,01,17,18,30,34,1,0,0,12,32,237,1016,2549,0,0,88,33,13,6,2,
2012-03-07,04,23,27,30,34,4,0,0,5,33,296,985,2497,0,0,186,28,9,5,2,
2012-03-05,03,08,19,23,31,2,0,0,12,31,335,1313,2747,0,0,85,33,8,4,2,
2012-03-02,15,20,21,22,26,4,0,0,4,29,252,945,2417,0,0,244,33,11,6,2,
2012-02-29,15,21,23,25,26,2,0,0,4,34,210,974,2088,0,0,214,25,11,5,2,
2012-02-27,03,06,18,26,34,2,1,0,10,40,246,1080,2699,280000,0,103,25,12,5,2,
2012-02-24,01,29,32,34,35,3,0,0,7,33,272,1012,2685,0,0,151,32,11,6,2,
2012-02-22,06,08,14,22,29,4,0,1,12,52,278,1071,2548,0,5132,77,17,9,5,1,
2012-02-20,06,12,22,25,27,2,0,0,9,51,291,1223,2595,0,0,109,19,9,4,2,
2012-02-17,07,08,09,10,33,1,0,1,10,50,254,1195,2464,0,2695,100,20,11,4,2,
2012-02-15,07,13,21,24,34,4,1,2,11,38,275,1125,2579,260000,2647,86,25,10,4,2,
2012-02-13,04,07,12,20,30,2,0,0,12,53,271,1223,2672,0,0,85,19,11,4,2,
2012-02-10,09,12,22,31,32,1,0,1,13,39,229,1184,2507,0,41963,79,26,13,5,2,
2012-02-08,02,04,06,07,28,2,0,0,14,33,281,1125,2376,0,0,64,27,9,4,2,
2012-02-06,10,14,26,29,32,5,1,0,11,33,305,1182,2705,220000,0,92,30,9,4,2,
2012-02-03,04,11,12,18,32,1,0,0,7,43,272,1250,2587,0,0,146,23,10,4,2,
2012-02-01,01,09,12,27,34,1,1,0,17,43,295,1387,2843,440000,0,66,26,11,4,2,
2012-01-30,02,03,21,25,26,5,0,0,7,39,313,1237,3134,0,0,170,30,11,5,2,
2012-01-27,03,08,10,23,34,2,0,0,14,53,315,1397,2948,0,0,84,22,10,4,2,
2012-01-25,03,07,14,28,31,2,0,0,13,36,286,1196,2672,0,0,76,27,10,4,2,
2012-01-23,04,08,14,15,21,4,0,0,7,42,356,1209,3054,0,0,156,26,8,5,1,
2012-01-20,02,14,24,30,35,3,0,0,17,34,333,1264,3009,0,0,65,32,9,5,2,
2012-01-18,06,09,30,32,34,4,0,0,16,29,269,918,2478,0,0,59,32,10,5,2,
2012-01-16,07,11,15,17,25,5,0,0,13,48,372,1327,3040,0,0,80,21,8,4,1,
2012-01-13,12,17,26,30,31,1,0,0,4,34,285,1093,2466,0,0,265,31,10,5,2,
2012-01-11,07,08,09,19,27,3,0,0,10,37,342,1203,2920,0,0,92,24,7,4,1,
2012-01-09,04,14,17,21,33,1,0,0,8,46,266,1159,2456,0,0,126,22,11,5,2,
2012-01-06,05,06,24,31,35,3,0,1,7,27,309,1043,2784,0,29149,145,37,9,5,1,
2012-01-04,01,17,24,26,30,4,0,0,6,25,252,1030,2440,0,0,153,36,10,5,2,
2012-01-02,02,09,17,24,26,5,1,0,7,49,295,1131,2675,200000,0,136,19,9,4,1,
2011-12-30,06,08,28,33,34,3,1,0,7,33,289,1188,3139,300000,0,167,35,11,5,2,
2011-12-28,02,09,20,28,29,5,0,0,8,38,266,1150,2621,0,0,122,25,10,4,2,
2011-12-26,02,15,24,25,31,2,0,0,6,28,226,1034,2334,0,0,157,33,12,5,2,
2011-12-23,02,03,11,15,29,4,0,0,10,39,299,1246,2959,0,0,108,27,10,5,1,
2011-12-21,04,18,24,27,32,2,0,0,6,40,275,1102,2362,0,0,155,23,9,4,2,
2011-12-19,02,11,12,15,35,4,0,0,14,40,297,1217,2955,0,0,72,25,9,4,1,
2011-12-16,08,11,24,27,35,2,1,0,11,77,539,2243,4898,858941,0,171,24,10,4,2,
2011-12-14,12,13,14,20,33,3,0,1,15,61,508,1702,4783,0,4443,110,27,9,5,1,
2011-12-12,08,24,28,32,34,1,0,1,13,72,417,1854,3947,0,45650,129,23,11,5,2,
2011-12-09,01,16,21,27,35,1,0,0,14,50,416,1701,3964,0,0,119,33,11,5,2,
2011-12-07,07,11,24,26,34,4,0,0,14,55,390,1592,3680,0,0,97,24,10,4,2,
2011-12-05,10,15,22,34,35,1,0,0,10,63,426,1673,3649,0,0,149,23,10,5,2,
2011-12-02,01,09,12,16,19,2,0,0,10,65,416,1694,3831,0,0,145,22,10,4,2,
2011-11-30,03,14,17,25,31,4,0,0,16,52,359,1474,3381,0,0,78,24,10,4,2,
2011-11-28,16,17,18,26,29,1,0,0,6,48,350,1326,3043,0,0,206,25,10,5,2,
2011-11-25,02,05,13,25,26,2,0,0,8,62,324,1301,2875,0,0,138,17,9,4,2,
2011-11-23,20,23,24,26,28,3,0,0,10,37,318,1172,3160,0,0,119,32,10,5,2,
2011-11-21,03,11,20,26,34,1,0,0,5,43,299,1261,2931,0,0,242,28,11,5,2,
2011-11-18,05,13,20,26,29,1,0,0,10,49,304,1349,2881,0,0,120,24,11,5,2,
2011-11-16,02,06,10,15,29,5,0,0,9,53,279,1219,2827,0,0,116,19,10,4,2,
2011-11-14,02,13,25,33,34,3,0,0,7,38,332,1191,3085,0,0,162,29,9,5,1,
2011-11-11,04,05,09,12,29,4,0,1,15,53,344,1492,3367,0,14080,79,22,10,4,1,
2011-11-09,04,05,13,24,28,4,0,0,9,39,323,1113,2758,0,0,111,25,9,5,1,
2011-11-07,01,15,24,26,33,3,0,0,4,44,277,1127,2813,0,0,270,24,11,5,2,
2011-11-04,10,13,15,22,33,5,0,0,9,53,293,1133,2819,0,0,118,20,10,5,2,
2011-11-02,01,10,23,27,34,3,0,0,7,45,310,1059,2640,0,0,133,20,8,5,1,
2011-10-31,07,14,15,16,35,1,0,2,10,27,244,1088,2504,0,5139,97,35,11,5,2,
2011-10-28,05,07,24,25,35,4,0,0,8,30,217,1069,2510,0,0,118,31,12,5,2,
2011-10-26,05,09,20,24,30,5,0,0,9,26,267,919,2406,0,0,94,32,9,5,1,
2011-10-24,04,10,11,17,22,5,1,0,14,61,354,1357,3128,320000,0,76,17,8,4,1,
2011-10-21,02,09,14,31,33,4,0,1,11,30,299,1132,2811,0,8010,96,35,10,5,2,
2011-10-19,04,10,16,28,33,4,0,0,12,32,263,960,2565,0,0,77,29,10,5,1,
2011-10-17,13,20,28,33,35,3,0,0,7,46,288,1090,2800,0,0,143,21,10,5,1,
2011-10-14,11,12,15,30,31,3,0,2,10,29,302,1157,2864,0,1352,101,34,9,5,1,
2011-10-12,10,12,16,26,34,1,0,1,7,41,230,982,2123,0,4973,126,21,11,5,2,
2011-10-10,02,03,05,26,32,4,0,0,7,38,255,1061,2754,0,0,139,25,11,5,1,
2011-10-07,08,12,13,19,27,3,1,2,26,82,636,2164,5322,747163,2340,67,21,8,4,1,
2011-10-05,01,11,13,18,25,3,0,1,12,55,501,1745,4586,0,4002,124,27,8,4,1,
2011-10-03,05,23,31,32,33,2,0,1,8,52,384,1663,3798,0,11649,196,30,11,5,2,
2011-09-30,14,16,23,24,35,2,0,0,14,49,391,1616,3587,0,0,105,30,10,5,2,
2011-09-28,01,03,10,15,23,1,0,0,8,47,383,1455,3246,0,0,163,27,9,5,2,
2011-09-26,04,13,17,26,34,1,0,1,12,68,327,1608,3318,0,3623,112,19,12,4,2,
2011-09-23,17,18,28,32,35,2,0,1,11,48,319,1487,3321,0,16023,120,27,12,5,2,
2011-09-21,09,10,11,24,29,1,0,0,11,37,318,1490,3089,0,0,106,31,10,4,2,
2011-09-19,12,19,25,31,34,1,0,0,13,54,339,1373,3024,0,0,94,22,10,5,2,
2011-09-16,04,09,10,17,28,4,0,0,14,48,379,1474,3463,0,0,86,25,9,4,1,
2011-09-14,03,05,10,21,27,2,0,0,11,52,291,1213,2738,0,0,95,20,10,5,2,
2011-09-12,02,07,10,12,20,5,0,2,16,63,357,1467,3152,0,9607,69,17,9,4,1,
2011-09-09,08,11,13,23,26,5,0,0,14,51,366,1480,3139,0,0,80,22,8,4,1,
2011-09-07,04,08,26,27,29,5,0,0,7,44,269,1236,2705,0,0,146,23,11,4,2,
2011-09-05,11,13,14,23,32,4,0,0,9,43,277,1181,2697,0,0,104,21,9,4,1,
2011-09-02,08,09,30,32,33,4,0,0,6,37,295,1056,2794,0,0,180,29,10,5,2,
2011-08-31,02,05,19,20,25,5,0,0,7,22,309,1028,2476,0,0,129,41,8,5,1,
2011-08-29,02,05,23,26,30,2,0,0,9,57,308,1121,2567,0,0,109,17,9,5,2,
2011-08-26,10,14,18,28,32,1,0,1,7,43,234,1132,2364,0,4968,141,23,12,5,2,
2011-08-24,08,10,23,25,29,2,0,0,4,38,259,1075,2308,0,0,217,22,9,4,2,
2011-08-22,04,21,27,31,35,3,0,1,5,45,286,951,2653,0,25899,186,20,9,5,1,
2011-08-19,02,15,26,29,34,1,1,0,7,33,228,956,2183,200000,0,139,29,12,5,2,
2011-08-17,08,20,27,29,32,1,1,0,13,39,276,1197,2690,420000,0,86,28,11,5,2,
2011-08-15,03,09,20,27,28,3,0,0,15,36,414,1369,3695,0,0,81,34,8,5,1,
2011-08-12,04,06,20,24,31,1,0,0,11,44,286,1197,2753,0,0,106,26,11,5,2,
2011-08-10,08,19,28,32,35,4,0,0,12,49,296,1172,2808,0,0,86,21,10,5,2,
2011-08-08,09,14,16,17,20,5,0,0,9,48,310,1258,3101,0,0,125,23,10,5,1,
2011-08-05,13,23,25,30,35,4,0,0,13,40,256,1257,2927,0,0,85,27,12,5,2,
2011-08-03,15,24,26,30,34,3,0,0,10,37,260,1023,2582,0,0,97,26,10,5,2,
2011-08-01,12,15,25,28,31,4,0,1,12,39,271,1185,2650,0,15156,86,26,11,5,2,
2011-07-29,01,04,28,31,32,4,0,0,6,29,244,976,2510,0,0,169,35,12,6,2,
2011-07-27,01,17,23,25,34,5,0,0,5,21,214,930,2251,0,0,175,41,11,5,2,
2011-07-25,04,13,14,19,33,5,0,0,6,41,270,1072,2457,0,0,157,23,10,5,2,
2011-07-22,06,09,18,19,30,4,0,0,5,35,259,1139,2598,0,0,189,27,10,4,1,
2011-07-20,02,18,24,28,34,1,1,0,8,45,204,989,1956,200000,0,105,18,11,4,2,
2011-07-18,08,13,17,18,22,4,2,1,11,45,300,1144,2733,100000,16815,85,20,9,4,1,
2011-07-15,08,09,11,31,34,2,1,0,10,43,337,1286,2868,380000,0,113,26,9,5,2,
2011-07-13,09,14,15,20,33,4,0,0,11,28,253,1087,2567,0,0,91,35,11,5,2,
2011-07-11,13,14,23,26,32,4,0,0,14,45,324,1224,2958,0,0,79,24,9,5,2,
2011-07-08,02,04,09,25,27,1,0,0,9,49,286,1278,2690,0,0,122,22,11,5,2,
2011-07-06,05,09,14,19,23,1,0,0,8,45,287,1349,2488,0,0,124,22,10,4,2,
2011-07-04,08,09,13,31,35,4,0,1,9,31,260,947,2446,0,7697,100,29,10,5,2,
2011-07-01,15,24,26,27,30,5,0,0,8,31,298,1073,2723,0,0,133,34,10,5,2,
2011-06-29,07,09,19,28,33,4,0,0,10,34,277,1134,2460,0,0,90,26,9,4,1,
2011-06-27,04,17,24,27,34,5,0,2,5,57,260,1144,2654,0,2657,198,17,11,5,2,
2011-06-24,14,18,21,27,35,3,0,0,10,42,337,1075,2823,0,0,99,23,8,5,1,
2011-06-22,05,08,11,18,25,3,1,1,12,45,339,1111,2716,200000,4985,72,19,7,4,1,
2011-06-20,04,08,13,19,29,4,1,0,17,45,324,1318,2918,200000,0,58,22,8,4,1,
2011-06-17,07,13,14,18,25,5,1,1,15,68,492,1704,4202,682124,4094,102,22,9,5,1,
2011-06-15,03,13,25,27,30,2,0,1,10,50,327,1481,3411,0,10929,133,26,11,5,2,
2011-06-13,10,22,23,27,32,1,0,0,14,55,360,1538,3480,0,0,99,25,11,5,2,
2011-06-10,08,14,19,24,30,4,0,0,15,53,409,1521,3661,0,0,90,25,9,5,2,
2011-06-08,09,11,17,21,29,1,0,1,11,64,378,1571,3131,0,3244,110,18,9,4,2,
2011-06-06,09,14,19,27,30,3,0,1,11,59,423,1484,3830,0,6974,119,22,9,5,1,
2011-06-03,01,13,23,26,34,4,0,0,13,40,359,1360,3258,0,0,99,32,10,5,2,
2011-06-01,10,25,28,33,35,3,0,1,16,34,325,1159,3225,0,5908,72,33,10,5,1,
2011-05-30,11,13,14,18,32,1,0,0,13,37,259,1142,2637,0,0,81,28,11,5,2,
2011-05-27,11,14,23,24,29,2,0,1,9,58,296,1464,2946,0,18071,131,20,11,4,2,
2011-05-25,02,06,28,33,34,3,0,0,6,26,280,957,2773,0,0,174,40,10,6,2,
2011-05-23,06,18,23,25,28,5,0,0,11,41,360,1242,3216,0,0,104,28,9,5,1,
2011-05-20,02,07,10,18,28,2,0,0,14,75,382,1427,3277,0,0,83,15,8,4,1,
2011-05-18,05,10,12,22,23,4,0,0,11,40,319,1346,3029,0,0,95,26,9,4,1,
2011-05-16,02,04,09,32,35,3,0,0,9,37,318,1240,3187,0,0,128,31,10,5,1,
2011-05-13,09,11,14,16,25,4,0,1,10,52,335,1343,3133,0,17082,115,22,9,4,1,
2011-05-11,05,11,18,23,29,3,0,0,12,45,364,1256,3038,0,0,83,22,7,4,1,
2011-05-09,11,13,22,24,26,2,0,0,10,56,282,1283,2858,0,0,107,19,11,4,2,
2011-05-06,02,21,25,26,29,1,0,0,11,36,293,1214,2683,0,0,102,31,11,5,2,
2011-05-04,06,09,11,21,34,3,1,0,15,66,584,2280,5753,1149210,0,136,30,10,5,1,
2011-05-02,12,15,16,32,35,2,0,2,16,64,554,2180,5237,0,2786,130,32,10,5,2,
2011-04-29,11,19,25,32,35,3,0,1,25,76,690,2347,6036,0,5787,86,28,9,5,1,
2011-04-27,07,08,21,25,27,1,0,1,15,76,446,1978,4300,0,9519,112,22,10,4,2,
2011-04-25,06,15,17,18,30,5,0,0,10,69,514,2185,4830,0,0,187,27,10,4,2,
2011-04-22,12,18,20,21,27,5,0,1,22,79,487,2089,4809,0,4855,82,22,10,5,2,
